fact_id,data_value,low_confidence_limit,high_confidence_limit,location_id,topic_id,class_id,year_start,year_end,question_id,stratification1_id,stratification2_id,stratification_categoryid2
BRFSS~2022~2022~37~Q35~TOC03~AGE~RACE,7.3,4.5,10.0,37,TOC03,C01,2022,2022,Q35,5064,BLK,RACE
BRFSS~2022~2022~9004~Q35~TOC03~AGE~GENDER,6.3,5.7,6.8,9004,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~9004~Q35~TOC03~AGE~GENDER,6.3,5.8,6.8,9004,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2021~2021~38~Q08~TOC01~AGE~RACE,6.2,3.2,9.2,38,TOC01,C01,2021,2021,Q08,5064,NAA,RACE
BRFSS~2021~2021~48~Q08~TOC01~AGE~RACE,4.3,3.7,5.0,48,TOC01,C01,2021,2021,Q08,5064,WHT,RACE
BRFSS~2021~2021~42~Q08~TOC01~AGE~RACE,7.2,4.8,9.7,42,TOC01,C01,2021,2021,Q08,65PLUS,BLK,RACE
BRFSS~2021~2021~09~Q08~TOC01~AGE~RACE,3.6,1.9,5.3,9,TOC01,C01,2021,2021,Q08,65PLUS,HIS,RACE
BRFSS~2021~2021~40~Q08~TOC01~AGE~RACE,7.6,4.5,10.6,40,TOC01,C01,2021,2021,Q08,65PLUS,NAA,RACE
BRFSS~2021~2021~54~Q08~TOC01~AGE~RACE,6.6,6.2,7.1,54,TOC01,C01,2021,2021,Q08,AGE_OVERALL,WHT,RACE
BRFSS~2021~2021~9002~Q35~TOC03~AGE~GENDER,6.2,5.7,6.7,9002,TOC03,C01,2021,2021,Q35,5064,MALE,GENDER
BRFSS~2021~2021~9001~Q35~TOC03~AGE~OVERALL,5.6,5.3,5.9,9001,TOC03,C01,2021,2021,Q35,5064,OVERALL,OVERALL
BRFSS~2018~2018~02~Q35~TOC03~AGE~GENDER,6.1,4.8,7.4,2,TOC03,C01,2018,2018,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2017~2017~66~Q08~TOC01~AGE~GENDER,4.6,3.4,5.8,66,TOC01,C01,2017,2017,Q08,AGE_OVERALL,FEMALE,GENDER
BRFSS~2018~2018~19~Q35~TOC03~AGE~GENDER,5.1,4.2,6.1,19,TOC03,C01,2018,2018,Q35,65PLUS,MALE,GENDER
BRFSS~2015~2015~22~Q08~TOC01~AGE~OVERALL,6.0,5.4,6.6,22,TOC01,C01,2015,2015,Q08,5064,OVERALL,OVERALL
BRFSS~2019~2019~23~Q35~TOC03~AGE~GENDER,7.8,6.6,9.0,23,TOC03,C01,2019,2019,Q35,5064,MALE,GENDER
BRFSS~2018~2018~26~Q35~TOC03~AGE~GENDER,7.5,6.7,8.3,26,TOC03,C01,2018,2018,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2017~2017~9001~Q35~TOC03~AGE~OVERALL,5.8,5.6,6.1,9001,TOC03,C01,2017,2017,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2016~2016~42~Q35~TOC03~AGE~OVERALL,6.1,5.3,6.9,42,TOC03,C01,2016,2016,Q35,5064,OVERALL,OVERALL
BRFSS~2015~2015~47~Q08~TOC01~AGE~OVERALL,7.0,6.3,7.8,47,TOC01,C01,2015,2015,Q08,5064,OVERALL,OVERALL
BRFSS~2018~2018~55~Q08~TOC01~AGE~OVERALL,5.1,4.6,5.6,55,TOC01,C01,2018,2018,Q08,AGE_OVERALL,OVERALL,OVERALL
